province,adcode,model,bodyType,regYear,regMonth,salesVolume,date,popularity,newsReplyVolume,carCommentVolume
福建,350000,9,2,2016,1,356,27,956,29,3278
辽宁,210000,9,2,2016,1,299,27,755,29,3278
重庆,500000,9,2,2016,1,771,27,1291,29,3278
陕西,610000,9,2,2016,1,524,27,1320,29,3278
黑龙江,230000,9,2,2016,1,605,27,1100,29,3278
上海,310000,43,1,2016,1,1178,27,1117,2,1508
云南,530000,43,1,2016,1,77,27,418,2,1508
内蒙古,150000,43,1,2016,1,67,27,381,2,1508
北京,110000,43,1,2016,1,1071,27,1524,2,1508
四川,510000,43,1,2016,1,156,27,1133,2,1508
安徽,340000,43,1,2016,1,149,27,502,2,1508
山东,370000,43,1,2016,1,635,27,1953,2,1508
山西,140000,43,1,2016,1,133,27,589,2,1508
广东,440000,43,1,2016,1,585,27,1985,2,1508
广西,450000,43,1,2016,1,58,27,299,2,1508
江苏,320000,43,1,2016,1,739,27,1647,2,1508
江西,360000,43,1,2016,1,91,27,305,2,1508
河北,130000,43,1,2016,1,250,27,1286,2,1508
河南,410000,43,1,2016,1,383,27,1713,2,1508
浙江,330000,43,1,2016,1,395,27,1209,2,1508
湖北,420000,43,1,2016,1,109,27,528,2,1508
湖南,430000,43,1,2016,1,80,27,416,2,1508
福建,350000,43,1,2016,1,77,27,410,2,1508
辽宁,210000,43,1,2016,1,160,27,669,2,1508
重庆,500000,43,1,2016,1,81,27,299,2,1508
陕西,610000,43,1,2016,1,175,27,607,2,1508
黑龙江,230000,43,1,2016,1,108,27,575,2,1508
上海,310000,25,3,2016,1,992,27,2658,12,54
云南,530000,25,3,2016,1,191,27,994,12,54
内蒙古,150000,25,3,2016,1,102,27,973,12,54
北京,110000,25,3,2016,1,210,27,2354,12,54
四川,510000,25,3,2016,1,429,27,3507,12,54
安徽,340000,25,3,2016,1,762,27,2472,12,54
山东,370000,25,3,2016,1,898,27,4806,12,54
山西,140000,25,3,2016,1,114,27,1180,12,54
广东,440000,25,3,2016,1,609,27,4122,12,54
广西,450000,25,3,2016,1,170,27,904,12,54
江苏,320000,25,3,2016,1,1906,27,6905,12,54
江西,360000,25,3,2016,1,344,27,1457,12,54
河北,130000,25,3,2016,1,279,27,2831,12,54
河南,410000,25,3,2016,1,558,27,4025,12,54
浙江,330000,25,3,2016,1,1566,27,4992,12,54
湖北,420000,25,3,2016,1,453,27,2071,12,54
湖南,430000,25,3,2016,1,459,27,1836,12,54
福建,350000,25,3,2016,1,237,27,1242,12,54
辽宁,210000,25,3,2016,1,158,27,1249,12,54
重庆,500000,25,3,2016,1,81,27,690,12,54
陕西,610000,25,3,2016,1,275,27,1608,12,54
黑龙江,230000,25,3,2016,1,38,27,1015,12,54
上海,310000,39,2,2016,1,1572,27,3615,152,3963
云南,530000,39,2,2016,1,612,27,1296,152,3963
内蒙古,150000,39,2,2016,1,463,27,1120,152,3963
北京,110000,39,2,2016,1,895,27,3499,152,3963
四川,510000,39,2,2016,1,1417,27,4444,152,3963
安徽,340000,39,2,2016,1,1219,27,2230,152,3963
山东,370000,39,2,2016,1,2241,27,5494,152,3963
山西,140000,39,2,2016,1,677,27,1686,152,3963
广东,440000,39,2,2016,1,2250,27,5197,152,3963
广西,450000,39,2,2016,1,594,27,1054,152,3963
江苏,320000,39,2,2016,1,2192,27,5279,152,3963
江西,360000,39,2,2016,1,1062,27,1609,152,3963
河北,130000,39,2,2016,1,1028,27,3296,152,3963
河南,410000,39,2,2016,1,1627,27,4697,152,3963
浙江,330000,39,2,2016,1,1657,27,4054,152,3963
湖北,420000,39,2,2016,1,1510,27,3170,152,3963
湖南,430000,39,2,2016,1,1650,27,2730,152,3963
福建,350000,39,2,2016,1,850,27,1686,152,3963
辽宁,210000,39,2,2016,1,446,27,1263,152,3963
重庆,500000,39,2,2016,1,540,27,1302,152,3963
陕西,610000,39,2,2016,1,746,27,1703,152,3963
黑龙江,230000,39,2,2016,1,266,27,1082,152,3963
上海,310000,30,3,2016,1,1709,27,3212,270,3705
云南,530000,30,3,2016,1,390,27,1076,270,3705
内蒙古,150000,30,3,2016,1,558,27,1156,270,3705
北京,110000,30,3,2016,1,334,27,2656,270,3705
四川,510000,30,3,2016,1,1710,27,4395,270,3705
安徽,340000,30,3,2016,1,2375,27,3459,270,3705
山东,370000,30,3,2016,1,3723,27,7475,270,3705
山西,140000,30,3,2016,1,646,27,1738,270,3705
广东,440000,30,3,2016,1,1777,27,4986,270,3705
广西,450000,30,3,2016,1,677,27,1147,270,3705
江苏,320000,30,3,2016,1,4998,27,8826,270,3705
江西,360000,30,3,2016,1,1261,27,1994,270,3705
河北,130000,30,3,2016,1,1931,27,4492,270,3705
河南,410000,30,3,2016,1,2603,27,6037,270,3705
浙江,330000,30,3,2016,1,3101,27,5807,270,3705
湖北,420000,30,3,2016,1,1782,27,2780,270,3705
湖南,430000,30,3,2016,1,1687,27,2453,270,3705
福建,350000,30,3,2016,1,893,27,1588,270,3705
辽宁,210000,30,3,2016,1,589,27,1526,270,3705
重庆,500000,30,3,2016,1,370,27,856,270,3705
陕西,610000,30,3,2016,1,741,27,1985,270,3705
黑龙江,230000,30,3,2016,1,299,27,1103,270,3705
上海,310000,49,3,2016,1,204,27,5993,17,2313
云南,530000,49,3,2016,1,184,27,2144,17,2313
内蒙古,150000,49,3,2016,1,389,27,3679,17,2313
北京,110000,49,3,2016,1,207,27,12937,17,2313
四川,510000,49,3,2016,1,955,27,7869,17,2313
安徽,340000,49,3,2016,1,792,27,7626,17,2313
山东,370000,49,3,2016,1,1924,27,12840,17,2313
山西,140000,49,3,2016,1,452,27,4653,17,2313
广东,440000,49,3,2016,1,1224,27,24365,17,2313
广西,450000,49,3,2016,1,498,27,3508,17,2313
江苏,320000,49,3,2016,1,1062,27,15837,17,2313
江西,360000,49,3,2016,1,1049,27,4410,17,2313
河北,130000,49,3,2016,1,919,27,9843,17,2313
河南,410000,49,3,2016,1,2130,27,19955,17,2313
浙江,330000,49,3,2016,1,1779,27,15301,17,2313
湖北,420000,49,3,2016,1,890,27,6066,17,2313
湖南,430000,49,3,2016,1,1524,27,5043,17,2313
福建,350000,49,3,2016,1,671,27,6383,17,2313
辽宁,210000,49,3,2016,1,214,27,7845,17,2313
重庆,500000,49,3,2016,1,378,27,2607,17,2313
陕西,610000,49,3,2016,1,927,27,4556,17,2313
黑龙江,230000,49,3,2016,1,193,27,2412,17,2313
上海,310000,26,3,2016,1,78,27,257,96,1699
云南,530000,26,3,2016,1,341,27,231,96,1699
内蒙古,150000,26,3,2016,1,352,27,425,96,1699
北京,110000,26,3,2016,1,235,27,589,96,1699
四川,510000,26,3,2016,1,756,27,867,96,1699
安徽,340000,26,3,2016,1,363,27,371,96,1699
山东,370000,26,3,2016,1,1789,27,1727,96,1699
山西,140000,26,3,2016,1,429,27,568,96,1699
广东,440000,26,3,2016,1,641,27,1219,96,1699
广西,450000,26,3,2016,1,285,27,262,96,1699
江苏,320000,26,3,2016,1,444,27,653,96,1699
江西,360000,26,3,2016,1,527,27,342,96,1699
河北,130000,26,3,2016,1,1277,27,1440,96,1699
河南,410000,26,3,2016,1,1463,27,1475,96,1699
浙江,330000,26,3,2016,1,450,27,746,96,1699
湖北,420000,26,3,2016,1,427,27,374,96,1699
湖南,430000,26,3,2016,1,899,27,473,96,1699
福建,350000,26,3,2016,1,201,27,281,96,1699
辽宁,210000,26,3,2016,1,295,27,464,96,1699
重庆,500000,26,3,2016,1,218,27,179,96,1699
陕西,610000,26,3,2016,1,785,27,803,96,1699
黑龙江,230000,26,3,2016,1,272,27,349,96,1699
上海,310000,31,2,2016,1,320,27,1275,3,4429
云南,530000,31,2,2016,1,785,27,970,3,4429
内蒙古,150000,31,2,2016,1,363,27,691,3,4429
北京,110000,31,2,2016,1,362,27,1618,3,4429
四川,510000,31,2,2016,1,1794,27,2983,3,4429
安徽,340000,31,2,2016,1,1233,27,1844,3,4429
山东,370000,31,2,2016,1,1412,27,3234,3,4429
山西,140000,31,2,2016,1,494,27,1318,3,4429
广东,440000,31,2,2016,1,1574,27,3109,3,4429
广西,450000,31,2,2016,1,527,27,576,3,4429
江苏,320000,31,2,2016,1,1591,27,3152,3,4429
江西,360000,31,2,2016,1,905,27,985,3,4429
河北,130000,31,2,2016,1,1293,27,2507,3,4429
河南,410000,31,2,2016,1,1515,27,3581,3,4429
浙江,330000,31,2,2016,1,1861,27,2729,3,4429
湖北,420000,31,2,2016,1,1123,27,1683,3,4429
湖南,430000,31,2,2016,1,1080,27,1235,3,4429
福建,350000,31,2,2016,1,489,27,909,3,4429
辽宁,210000,31,2,2016,1,351,27,845,3,4429
重庆,500000,31,2,2016,1,459,27,666,3,4429
陕西,610000,31,2,2016,1,709,27,1310,3,4429
黑龙江,230000,31,2,2016,1,587,27,1146,3,4429
上海,310000,21,2,2016,1,871,27,4905,12,3219
云南,530000,21,2,2016,1,1704,27,3584,12,3219
内蒙古,150000,21,2,2016,1,744,27,2773,12,3219
北京,110000,21,2,2016,1,963,27,6383,12,3219
四川,510000,21,2,2016,1,3386,27,9483,12,3219
安徽,340000,21,2,2016,1,2327,27,5166,12,3219
山东,370000,21,2,2016,1,3259,27,10660,12,3219
山西,140000,21,2,2016,1,885,27,3871,12,3219
广东,440000,21,2,2016,1,3438,27,11720,12,3219
广西,450000,21,2,2016,1,898,27,2289,12,3219
江苏,320000,21,2,2016,1,3796,27,11380,12,3219
江西,360000,21,2,2016,1,1595,27,2982,12,3219
河北,130000,21,2,2016,1,2546,27,7848,12,3219
河南,410000,21,2,2016,1,4567,27,13080,12,3219
浙江,330000,21,2,2016,1,3658,27,9470,12,3219
湖北,420000,21,2,2016,1,2416,27,5507,12,3219
湖南,430000,21,2,2016,1,2539,27,4316,12,3219
福建,350000,21,2,2016,1,820,27,3100,12,3219
辽宁,210000,21,2,2016,1,967,27,3584,12,3219
重庆,500000,21,2,2016,1,1093,27,2236,12,3219
陕西,610000,21,2,2016,1,1187,27,3832,12,3219
黑龙江,230000,21,2,2016,1,797,27,3283,12,3219
上海,310000,8,3,2016,1,1357,27,630,6,10690
云南,530000,8,3,2016,1,572,27,494,6,10690
内蒙古,150000,8,3,2016,1,624,27,332,6,10690
北京,110000,8,3,2016,1,1794,27,729,6,10690
四川,510000,8,3,2016,1,933,27,1214,6,10690
安徽,340000,8,3,2016,1,1168,27,830,6,10690
山东,370000,8,3,2016,1,1944,27,1157,6,10690
山西,140000,8,3,2016,1,1214,27,452,6,10690
广东,440000,8,3,2016,1,542,27,1227,6,10690
广西,450000,8,3,2016,1,218,27,239,6,10690
江苏,320000,8,3,2016,1,2309,27,1575,6,10690
江西,360000,8,3,2016,1,722,27,338,6,10690
河北,130000,8,3,2016,1,1886,27,930,6,10690
河南,410000,8,3,2016,1,1577,27,1464,6,10690
浙江,330000,8,3,2016,1,1114,27,1154,6,10690
湖北,420000,8,3,2016,1,523,27,557,6,10690
湖南,430000,8,3,2016,1,747,27,534,6,10690
福建,350000,8,3,2016,1,584,27,411,6,10690
辽宁,210000,8,3,2016,1,263,27,277,6,10690
重庆,500000,8,3,2016,1,800,27,379,6,10690
陕西,610000,8,3,2016,1,789,27,532,6,10690
黑龙江,230000,8,3,2016,1,183,27,193,6,10690
上海,310000,12,3,2016,1,46,27,1342,90,1900
云南,530000,12,3,2016,1,1285,27,1193,90,1900
内蒙古,150000,12,3,2016,1,1314,27,1995,90,1900
北京,110000,12,3,2016,1,945,27,3217,90,1900
四川,510000,12,3,2016,1,2222,27,3402,90,1900
安徽,340000,12,3,2016,1,607,27,1100,90,1900
山东,370000,12,3,2016,1,4027,27,5902,90,1900
山西,140000,12,3,2016,1,1234,27,2265,90,1900
广东,440000,12,3,2016,1,1556,27,4162,90,1900
广西,450000,12,3,2016,1,493,27,568,90,1900
江苏,320000,12,3,2016,1,917,27,2663,90,1900
江西,360000,12,3,2016,1,496,27,852,90,1900
河北,130000,12,3,2016,1,3740,27,7103,90,1900
河南,410000,12,3,2016,1,2560,27,4993,90,1900
浙江,330000,12,3,2016,1,800,27,2216,90,1900
湖北,420000,12,3,2016,1,841,27,1449,90,1900
湖南,430000,12,3,2016,1,2251,27,1420,90,1900
福建,350000,12,3,2016,1,788,27,1079,90,1900
辽宁,210000,12,3,2016,1,1349,27,2805,90,1900
重庆,500000,12,3,2016,1,234,27,582,90,1900
陕西,610000,12,3,2016,1,1113,27,1981,90,1900
黑龙江,230000,12,3,2016,1,1494,27,2656,90,1900
上海,310000,23,3,2016,1,2375,27,1432,11,3702
云南,530000,23,3,2016,1,1009,27,1031,11,3702
内蒙古,150000,23,3,2016,1,744,27,768,11,3702
北京,110000,23,3,2016,1,1468,27,1521,11,3702
四川,510000,23,3,2016,1,2462,27,2861,11,3702
安徽,340000,23,3,2016,1,3082,27,2063,11,3702
山东,370000,23,3,2016,1,5502,27,3047,11,3702
山西,140000,23,3,2016,1,2073,27,1100,11,3702
广东,440000,23,3,2016,1,2669,27,3285,11,3702
广西,450000,23,3,2016,1,722,27,623,11,3702
江苏,320000,23,3,2016,1,5630,27,4046,11,3702
江西,360000,23,3,2016,1,2694,27,1100,11,3702
河北,130000,23,3,2016,1,4516,27,2500,11,3702
河南,410000,23,3,2016,1,4592,27,3791,11,3702
浙江,330000,23,3,2016,1,3120,27,2982,11,3702
湖北,420000,23,3,2016,1,2590,27,1582,11,3702
湖南,430000,23,3,2016,1,2791,27,1436,11,3702
福建,350000,23,3,2016,1,1609,27,1080,11,3702
辽宁,210000,23,3,2016,1,916,27,849,11,3702
重庆,500000,23,3,2016,1,1039,27,764,11,3702
陕西,610000,23,3,2016,1,1658,27,1396,11,3702
黑龙江,230000,23,3,2016,1,399,27,594,11,3702
上海,310000,52,3,2016,1,968,27,1200,61,1111
云南,530000,52,3,2016,1,612,27,645,61,1111
内蒙古,150000,52,3,2016,1,712,27,631,61,1111
北京,110000,52,3,2016,1,529,27,1706,61,1111
四川,510000,52,3,2016,1,1515,27,1618,61,1111
安徽,340000,52,3,2016,1,1394,27,907,61,1111
山东,370000,52,3,2016,1,5127,27,3489,61,1111
山西,140000,52,3,2016,1,2427,27,1517,61,1111
广东,440000,52,3,2016,1,467,27,2020,61,1111
广西,450000,52,3,2016,1,403,27,334,61,1111
江苏,320000,52,3,2016,1,1366,27,2076,61,1111
江西,360000,52,3,2016,1,955,27,502,61,1111
河北,130000,52,3,2016,1,4674,27,3377,61,1111
河南,410000,52,3,2016,1,2819,27,2522,61,1111
浙江,330000,52,3,2016,1,1400,27,1671,61,1111
湖北,420000,52,3,2016,1,677,27,757,61,1111
湖南,430000,52,3,2016,1,1213,27,593,61,1111
福建,350000,52,3,2016,1,500,27,540,61,1111
辽宁,210000,52,3,2016,1,790,27,1053,61,1111
重庆,500000,52,3,2016,1,587,27,450,61,1111
陕西,610000,52,3,2016,1,916,27,1172,61,1111
黑龙江,230000,52,3,2016,1,447,27,638,61,1111
上海,310000,47,3,2016,1,317,27,1101,11,852
云南,530000,47,3,2016,1,523,27,982,11,852
内蒙古,150000,47,3,2016,1,445,27,851,11,852
北京,110000,47,3,2016,1,1279,27,1767,11,852
四川,510000,47,3,2016,1,985,27,2613,11,852
安徽,340000,47,3,2016,1,594,27,1366,11,852
山东,370000,47,3,2016,1,1527,27,2789,11,852
山西,140000,47,3,2016,1,453,27,930,11,852
广东,440000,47,3,2016,1,752,27,2476,11,852
广西,450000,47,3,2016,1,211,27,538,11,852
江苏,320000,47,3,2016,1,1523,27,3042,11,852
江西,360000,47,3,2016,1,379,27,745,11,852
河北,130000,47,3,2016,1,1612,27,2774,11,852
河南,410000,47,3,2016,1,1352,27,2905,11,852
浙江,330000,47,3,2016,1,764,27,2333,11,852
湖北,420000,47,3,2016,1,493,27,1162,11,852
湖南,430000,47,3,2016,1,508,27,982,11,852
福建,350000,47,3,2016,1,492,27,894,11,852
辽宁,210000,47,3,2016,1,638,27,1110,11,852
重庆,500000,47,3,2016,1,313,27,575,11,852
陕西,610000,47,3,2016,1,491,27,1174,11,852
黑龙江,230000,47,3,2016,1,789,27,1107,11,852
上海,310000,40,2,2016,1,1571,27,3964,70,1177
云南,530000,40,2,2016,1,844,27,1794,70,1177
内蒙古,150000,40,2,2016,1,349,27,1381,70,1177
北京,110000,40,2,2016,1,1075,27,4583,70,1177
四川,510000,40,2,2016,1,1631,27,5442,70,1177
安徽,340000,40,2,2016,1,1305,27,2498,70,1177
山东,370000,40,2,2016,1,1420,27,6456,70,1177
山西,140000,40,2,2016,1,469,27,2156,70,1177
广东,440000,40,2,2016,1,2185,27,6346,70,1177
广西,450000,40,2,2016,1,412,27,981,70,1177
江苏,320000,40,2,2016,1,2303,27,6359,70,1177
江西,360000,40,2,2016,1,1219,27,1820,70,1177
河北,130000,40,2,2016,1,1075,27,5345,70,1177
河南,410000,40,2,2016,1,1463,27,5707,70,1177
浙江,330000,40,2,2016,1,3182,27,6133,70,1177
湖北,420000,40,2,2016,1,1269,27,2969,70,1177
湖南,430000,40,2,2016,1,1418,27,2466,70,1177
福建,350000,40,2,2016,1,1432,27,2259,70,1177
辽宁,210000,40,2,2016,1,417,27,2001,70,1177
重庆,500000,40,2,2016,1,651,27,1594,70,1177
陕西,610000,40,2,2016,1,640,27,2537,70,1177
黑龙江,230000,40,2,2016,1,352,27,1691,70,1177
上海,310000,16,3,2016,1,502,27,2931,324,3116
云南,530000,16,3,2016,1,704,27,1719,324,3116
内蒙古,150000,16,3,2016,1,749,27,1909,324,3116
北京,110000,16,3,2016,1,1396,27,5664,324,3116
四川,510000,16,3,2016,1,2380,27,6297,324,3116
安徽,340000,16,3,2016,1,1207,27,2922,324,3116
山东,370000,16,3,2016,1,2790,27,8324,324,3116
山西,140000,16,3,2016,1,831,27,2687,324,3116
广东,440000,16,3,2016,1,1467,27,6940,324,3116
广西,450000,16,3,2016,1,447,27,1158,324,3116
江苏,320000,16,3,2016,1,2903,27,7392,324,3116
江西,360000,16,3,2016,1,698,27,1755,324,3116
河北,130000,16,3,2016,1,2975,27,9048,324,3116
河南,410000,16,3,2016,1,2415,27,7320,324,3116
浙江,330000,16,3,2016,1,2040,27,5682,324,3116
湖北,420000,16,3,2016,1,1338,27,2940,324,3116
湖南,430000,16,3,2016,1,901,27,2153,324,3116
福建,350000,16,3,2016,1,813,27,2225,324,3116
辽宁,210000,16,3,2016,1,1069,27,3049,324,3116
重庆,500000,16,3,2016,1,402,27,1176,324,3116
陕西,610000,16,3,2016,1,832,27,2922,324,3116
黑龙江,230000,16,3,2016,1,857,27,2940,324,3116
上海,310000,28,0,2016,1,532,27,942,322,689
云南,530000,28,0,2016,1,384,27,575,322,689
内蒙古,150000,28,0,2016,1,353,27,452,322,689
北京,110000,28,0,2016,1,817,27,1003,322,689
四川,510000,28,0,2016,1,707,27,1596,322,689
安徽,340000,28,0,2016,1,569,27,942,322,689
山东,370000,28,0,2016,1,1583,27,2041,322,689
山西,140000,28,0,2016,1,271,27,549,322,689
广东,440000,28,0,2016,1,817,27,2077,322,689
广西,450000,28,0,2016,1,263,27,405,322,689
江苏,320000,28,0,2016,1,1924,27,2430,322,689
江西,360000,28,0,2016,1,394,27,522,322,689
河北,130000,28,0,2016,1,1284,27,1635,322,689
河南,410000,28,0,2016,1,972,27,1970,322,689
浙江,330000,28,0,2016,1,1451,27,2002,322,689
湖北,420000,28,0,2016,1,472,27,843,322,689
湖南,430000,28,0,2016,1,503,27,750,322,689
福建,350000,28,0,2016,1,482,27,634,322,689
辽宁,210000,28,0,2016,1,401,27,661,322,689
重庆,500000,28,0,2016,1,153,27,364,322,689
陕西,610000,28,0,2016,1,384,27,750,322,689
黑龙江,230000,28,0,2016,1,285,27,486,322,689
上海,310000,11,2,2016,1,305,27,394,83,5664
云南,530000,11,2,2016,1,251,27,332,83,5664
内蒙古,150000,11,2,2016,1,312,27,365,83,5664
北京,110000,11,2,2016,1,432,27,552,83,5664
四川,510000,11,2,2016,1,824,27,870,83,5664
安徽,340000,11,2,2016,1,1721,27,608,83,5664
山东,370000,11,2,2016,1,1900,27,1177,83,5664
山西,140000,11,2,2016,1,488,27,467,83,5664
广东,440000,11,2,2016,1,375,27,936,83,5664
广西,450000,11,2,2016,1,188,27,241,83,5664
江苏,320000,11,2,2016,1,859,27,862,83,5664
江西,360000,11,2,2016,1,386,27,230,83,5664
河北,130000,11,2,2016,1,1327,27,946,83,5664
河南,410000,11,2,2016,1,1147,27,1024,83,5664
浙江,330000,11,2,2016,1,368,27,718,83,5664
湖北,420000,11,2,2016,1,689,27,403,83,5664
湖南,430000,11,2,2016,1,638,27,322,83,5664
福建,350000,11,2,2016,1,177,27,243,83,5664
辽宁,210000,11,2,2016,1,514,27,394,83,5664
重庆,500000,11,2,2016,1,518,27,223,83,5664
陕西,610000,11,2,2016,1,356,27,438,83,5664
黑龙江,230000,11,2,2016,1,328,27,422,83,5664
